Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latvia,1.59,-0.404,0.274,0.404,2.105,2.16,2.549,2.137,-0.489
Lebanon,10.081,1.12,-0.707,-3.424,3.128,5.056,3.946,6.944,145.887
Lesotho,4.969,5.504,2.012,7.481,4.443,4.835,5.235,3.985,6.453
Liberia,7.709,8.494,7.661,8.039,12.518,13.894,28.525,20.251,13.122
Libya,-3.674,1.704,7.138,16.9,24.013,28.047,-1.196,0.214,2.817
Lithuania,2.916,0.53,-0.189,-0.249,1.96,3.806,1.758,2.73,-0.072
Luxembourg,2.433,1.503,-1,0.818,1.553,1.549,1.866,1.812,-0.347
Macao SAR,5.829,5.717,5.594,3.733,1.444,2.041,2.944,2.561,-0.865
Madagascar,5.778,6.258,6.026,7.563,5.952,10.598,6.943,3.975,4.569
Malawi,34.577,23.5,24.152,24.855,19.969,7.061,9.892,11.527,7.645
Malaysia,1.248,3.223,2.663,2.683,1.742,3.51,0.165,0.991,-1.39
Maldives,5.43,3.064,1.173,1.158,1.825,2.234,0.54,1.716,-2.044
Mali,2.4,0,1.147,0.965,-0.758,1.747,0.78,-3.32,0.721
Malta,2.75,1.01,0.381,1.253,0.963,1.336,1.239,1.283,0.164
Marshall Islands,2.906,0.768,1.289,-3.843,-0.753,0.991,0.694,-1.658,1.541
Mauritania,3.405,4.486,5.001,-2.83,2.77,1.236,3.154,2.702,1.826
Mauritius,3.179,4.063,0.239,1.281,2.325,4.271,1.76,0.879,2.711
Mexico,3.568,3.974,4.081,2.131,3.36,6.773,4.831,2.829,3.15
Micronesia,2.502,0.962,0.666,-0.665,-0.741,1.021,2.492,1.301,-0.328
Moldova,3.954,5.177,4.68,13.528,2.279,7.334,0.9,7.5,0.39
Mongolia,14.101,12.484,10.426,1.015,1.307,6.349,8.209,5.172,2.295
Montenegro,5.117,0.304,-0.303,1.42,1,1.881,1.652,1.052,-0.946
Morocco,2.091,0.176,1.511,0.586,1.723,1.699,0.1,1.027,-0.912
Mozambique,2.02,3.538,1.925,10.554,21.152,5.648,3.524,3.503,3.52
Myanmar,4.116,6.934,3.598,13.591,3.877,3.403,8.588,9.511,2.034
Namibia,6.383,4.894,4.634,3.696,7.298,5.167,5.15,2.588,2.361
Nauru,0.321,-1.754,9.987,3.51,8.215,1.58,3.4,4.519,-15.617
Nepal,11.475,7.749,8.084,7.576,10.439,2.711,4.58,6.021,4.776
Netherlands,3.305,1.3,-0.14,0.452,0.73,1.181,1.746,2.622,0.77
New Zealand,0.95,1.625,0.758,0.084,1.336,1.594,1.889,1.854,1.437
Nicaragua,6.619,5.675,6.48,3.052,3.13,5.678,3.885,6.13,2.931
Niger,0.707,1.099,-0.579,2.13,-2.156,1.747,1.618,-2.317,3.063
Nigeria,11.979,7.961,7.978,9.554,18.546,15.368,11.442,11.982,15.754
North Macedonia,4.755,1.376,-0.588,-0.318,-0.292,2.435,0.84,0.434,2.25
Norway,1.392,2.006,2.07,2.333,3.469,1.628,3.487,1.366,1.438
Oman,4.377,0.197,0.886,-0.098,1.074,1.739,0.76,-0.189,-1.416
Pakistan,11.265,5.853,8.225,3.158,3.191,3.932,5.212,8,8.592
Palau,1.665,3.703,3.839,0.299,0.356,0.657,2.647,-0.374,0.554
Panama,4.634,3.737,0.97,0.294,1.463,0.481,0.158,-0.064,-1.575
Papua New Guinea,5.816,2.893,6.654,6.327,6.612,4.7,4.8,2.735,5.141
Paraguay,4.03,3.753,4.201,3.135,3.909,4.493,3.2,2.81,2.168
Peru,2.649,2.86,3.224,4.398,3.235,1.365,2.192,1.9,1.973
Philippines,2.871,3.721,1.906,0.77,2.183,2.885,5.296,2.367,3.276
Poland,2.4,0.7,-1,-0.5,0.8,2.1,1.1,3.4,2.4
Portugal,2.09,0.171,-0.27,0.291,0.881,1.618,0.635,0.369,-0.29
Puerto Rico,1.152,0.811,0.07,-0.159,0.453,1.161,0.569,0.529,-0.082
Qatar,2.635,2.49,2.798,3.735,1.495,0.591,-0.697,-0.411,-3.374
Romania,4.964,1.569,0.828,-0.947,-0.534,3.32,3.261,4.047,2.068
Russia,6.576,6.45,11.362,12.908,5.375,2.523,4.269,3.046,4.912
Rwanda,3.885,3.645,2.114,4.531,7.284,0.665,1.135,6.731,3.743
Samoa,5.481,-1.732,0.186,0.37,2.256,1.017,5.782,-0.087,-3.282
San Marino,2.531,1.458,0.494,0.232,0.833,1.249,1.606,0.75,0.215
So Tom and Prncipe,10.406,7.134,6.426,4.183,5.123,7.69,9.045,7.674,9.353
Saudi Arabia,3.615,2.519,1.904,1.231,0.969,-1.113,1.91,-0.182,5.329
Senegal,1.134,-0.076,-0.808,0.959,2.859,-0.792,1.116,0.638,2.433
Serbia,12.184,2.195,1.752,1.556,1.532,3.017,1.987,1.85,1.255
Seychelles,5.797,3.419,0.524,3.167,-0.236,3.498,3.382,1.692,3.784
Sierra Leone,6.203,5.374,4.606,8.383,17.42,15.324,14.237,13.902,10.447
Singapore,4.324,1.499,-0.076,-0.639,0.163,0.375,0.465,0.761,0.024
Slovak Republic,3.347,0.35,-0.149,-0.459,0.261,2.019,1.891,3.145,1.594
Slovenia,2.648,0.632,0.1,-0.488,0.481,1.734,1.41,1.835,-1.1
Solomon Islands,5.087,0.88,5.78,3.505,-2.191,2.138,3.789,2.69,-2.526
Somalia,n/a,2.8,1.3,0.292,1.214,6.091,3.221,3.13,4.833
South Africa,5.728,5.263,5.441,5.16,6.764,4.695,4.921,3.744,3.172
South Sudan,25.239,-8.787,9.88,109.856,401.732,153.424,31.408,30.019,87.709
Spain,2.868,0.252,-1.042,0.018,1.568,1.112,1.184,0.788,-0.532
Sri Lanka,9.272,4.646,1.351,4.571,4.463,7.149,2.766,4.83,4.23
St. Kitts and Nevis,0.506,0.613,-0.546,-2.396,0.028,0.756,-0.749,-0.837,-1.179
St. Lucia,5.009,-0.746,3.67,-2.604,-2.834,1.979,2.17,-0.703,-0.367
St. Vincent and the Grenadines,1.037,0,0.093,-2.05,0.951,3.016,1.372,0.451,-0.988
Sudan,44.436,41.903,25.668,12.582,30.474,25.151,72.935,57.011,269.334
