Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
San Marino,6.95,8.079,8.739,9.183,8.597,8.095,8.009,7.663,7.342
So Tom and Prncipe,13.59,13.525,13.472,13.433,13.416,13.472,n/a,n/a,n/a
Saudi Arabia,5.524,5.568,5.721,5.591,5.6,6,6,5.7,7.4
Senegal,,,,,,,,,
Serbia,24.6,23,21.021,19.281,16.854,14.869,14.073,11.581,10.093
Seychelles,3.705,3.325,2.983,2.684,2.684,3,3,3,3
Sierra Leone,,,,,,,,,
Singapore,1.95,1.9,1.95,1.9,2.075,2.175,2.1,2.25,3
Slovak Republic,13.9,14.117,13.108,11.45,9.658,8.067,6.525,5.725,6.608
Slovenia,8.85,10.108,9.7,8.983,8.008,6.575,5.125,4.442,4.983
Solomon Islands,,,,,,,,,
Somalia,,,,,,,,,
South Africa,24.875,24.725,25.1,25.35,26.725,27.45,27.125,28.7,29.175
South Sudan,,,,,,,,,
Spain,24.788,26.095,24.443,22.058,19.635,17.225,15.255,14.105,15.533
Sri Lanka,4,4.4,4.3,4.7,4.4,4.2,4.4,4.8,5.5
St. Kitts and Nevis,,,,,,,,,
St. Lucia,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,
Sudan,14.8,15.2,19.8,21.6,20.6,19.6,19.5,22.1,26.83
Suriname,8.1,6.6,5.5,7,10,7,9,8.809,11.147
Sweden,8.15,8.208,8.1,7.592,7.15,6.858,6.517,6.975,8.542
Switzerland,2.905,3.158,3.044,3.178,3.323,3.088,2.547,2.306,3.17
Syria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,4.24,4.18,3.96,3.78,3.92,3.76,3.71,3.73,3.85
Tajikistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Tanzania,,,,,,,,,
Thailand,0.662,0.7,0.8,0.9,1,1.2,1.1,1,2
Timor-Leste,,,,,,,,,
Togo,,,,,,,,,
Tonga,,,,,,,,,
Trinidad and Tobago,,,,,,,,,
Tunisia,16.723,15.33,14.959,15.39,15.544,15.513,15.53,14.889,17.4
Trkiye,8.316,8.878,9.897,10.316,10.915,10.918,10.907,13.731,13.147
Turkmenistan,,,,,,,,,
Tuvalu,,,,,,,,,
Uganda,,,,,,,,,
Ukraine,7.529,7.172,9.275,9.143,9.45,9.65,9,8.5,9.15
United Arab Emirates,,,,,,,,,
United Kingdom,7.975,7.575,6.2,5.375,4.875,4.425,4.075,3.825,4.55
United States,8.075,7.358,6.158,5.275,4.875,4.358,3.892,3.675,8.092
Uruguay,6.325,6.508,6.625,7.525,7.867,7.925,8.367,8.925,10.35
Uzbekistan,4.874,4.86,5.087,5.153,5.163,5.83,9.347,8.976,10.531
Vanuatu,,,,,,,,,
Venezuela,7.823,7.47,6.7,7.4,20.863,27.886,35.554,n/a,n/a
Vietnam,1.96,2.18,2.1,2.33,2.3,2.24,2.19,2.17,2.48
West Bank and Gaza,23,23.4,26.9,25.9,26.9,25.45,26.25,25.35,25.925
Yemen,,,,,,,,,
Zambia,,,,,,,,,
Zimbabwe,,,,,,,,,
