Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lao P.D.R.,6.685,10.552,22.155,-4.798,17.824,2.588,4.104,14.133,-7.407
Latvia,9.498,0.659,6.236,2.966,3.943,6.377,4.464,2.091,-2.153
Lebanon,-12.101,0.976,-6.117,21.576,1.274,-4.972,-4.088,-3.304,-49.659
Lesotho,-2.285,-8.7,-3.453,16.738,9.486,5.496,0.315,-0.381,-21.306
Liberia,14.927,18.058,-1.576,1.332,-4.832,-7.743,31.621,-7.28,-13.337
Libya,217.46,-23.803,-54.813,6.787,2.709,131.615,43.105,-9.944,-65.906
Lithuania,10.847,7.27,-1.823,2.42,4.927,13.522,6.806,9.928,0.434
Luxembourg,1.619,6.316,6.516,5.139,5.309,-0.227,3.582,5.792,1.253
Macao SAR,,,,,,,,,
Madagascar,7.237,-10.052,-1.428,-7.684,-31.92,-9.658,-5.945,14.754,-30.628
Malawi,0.681,21.996,3.179,-22.383,-7.294,-11.509,2.227,8.092,-19.881
Malaysia,-6.492,0.074,6.502,4.05,3.89,7.26,2.125,-0.812,0.4
Maldives,-5.016,10.192,8.425,-11.673,-0.147,4.003,4.695,5.545,-52.431
Mali,9.003,10.217,-1.806,31.204,-3.891,13.589,-2.582,7.655,-21.864
Malta,5.466,0.949,3.45,15.438,7.024,8.696,-0.413,6.998,-3.765
Marshall Islands,14.661,-2.661,-1.081,6.039,-2.704,5.486,-1.513,7.635,-0.702
Mauritania,10.125,-3.939,-0.949,2.006,-2.576,18.848,-0.003,12.206,2.003
Mauritius,9.389,-7.91,7.269,-2.045,-7.695,3.463,3.395,-4.485,-38.872
Mexico,6.525,1.371,6.982,8.414,3.582,4.162,6.004,1.469,-7.299
Micronesia,,,,,,,,,
Moldova,1,13,2,1,7.7,12.5,6.2,6.7,-21.332
Mongolia,9.91,11.324,31.438,3.168,33.466,0.608,-1.201,6.279,-15.066
Montenegro,-0.922,0.066,-1.174,9.273,4.387,7.3,11.315,7.678,-48.302
Morocco,7.769,6.367,0.027,7.241,7.114,10.759,1.795,2.855,-19.977
Mozambique,40.98,8.808,-2.864,-1.094,-6.071,34.571,5.157,-3.2,-18.083
Myanmar,4.669,21.958,18.431,18.055,-9.748,2.096,18.187,-3.608,-2.608
Namibia,2.283,-6.827,0.632,-11.28,9.521,20.105,10.449,-7.576,-22.1
Nauru,,,,,,,,,
Nepal,,,,,,,,,
Netherlands,3.266,2.523,4.621,7.444,1.668,6.489,4.324,1.979,-4.273
New Zealand,1.861,0.865,3.422,8.101,2.73,2.595,3.052,2.582,-12.878
Nicaragua,12.244,4.195,6.322,-1.12,4.705,9.393,-2.58,1.422,-9.59
Niger,18.935,8.935,-0.503,-8.997,-7.214,11.898,-5.043,-0.659,63.021
Nigeria,-3.539,1.961,-9.029,8.652,-7.177,8.194,0.052,17.777,-16.657
North Macedonia,1.952,6.094,16.479,8.476,9.081,8.347,12.805,8.877,-10.897
Norway,-7.245,-2.93,0.103,-2.408,1.506,17.915,5.174,-16.079,-1.225
Oman,12.979,9.177,3.962,4.82,-10.457,1.965,7.326,-2.293,3.068
Pakistan,-5.871,16.245,0.381,8.161,-5.826,-1.661,6.01,-3.487,-2.107
Palau,11.5,1.811,8.677,14.502,-2.672,-16.4,-9.431,-13.138,-45.526
Panama,7.766,-5.549,-8.656,-4.9,-3.276,5.193,2.733,-0.255,-26.949
Papua New Guinea,-2.056,1.545,99.412,45.134,11.05,8.364,-14.564,9.613,-5.184
Paraguay,-7.158,14.56,-4.333,4.591,9.797,7.808,-1.956,-4.139,-5.179
Peru,5.214,-3.366,-0.957,2.9,11.363,8.014,1.631,1.223,-13.734
Philippines,15.78,0.225,13.695,2.966,9.623,20.45,8.036,5.423,-16.899
Poland,4.258,5.545,6.708,8.033,9.266,9.627,6.949,5.192,0.011
Portugal,-2.972,12.322,5.175,6.341,4.191,7.966,4.15,3.978,-18.631
Puerto Rico,,,,,,,,,
Qatar,11.4,3.42,2.005,-2.719,-3.978,0.506,4.759,0.223,-0.399
Romania,1.105,20.578,8.536,4.583,16.34,7.765,5.32,5.358,-9.405
Russia,-0.063,4.886,-0.976,2.969,1.851,4.471,5.108,-3.348,-4.084
Rwanda,21.247,9.616,8.538,-3.761,9.81,29.573,7.37,-5.143,-15.321
Samoa,,,,,,,,,
San Marino,,,,,,,,,
So Tom and Prncipe,16.916,24.934,52.239,-5.67,8.784,-2.815,5.834,-7.649,-35.049
Saudi Arabia,4.327,1.763,2.3,3.873,5.783,-0.264,9.251,-3.649,-14.394
Senegal,2.404,11.595,4.132,-2.325,4.588,10.778,10.661,9.219,-11.904
Serbia,-0.073,17.901,4.222,10.832,11.317,9.767,7.876,10.09,-5.373
Seychelles,23.632,-8.293,12.969,28.782,-8.627,3.935,28.849,4.98,-28.682
Sierra Leone,115.619,52.329,3.191,-23.196,-1.072,-9.905,24.767,21.738,-40.358
Singapore,1.397,6.14,3.62,4.968,0.035,7.377,7.56,0.304,-0.247
Slovak Republic,9.29,5.866,4.046,6.283,5.123,4.127,4.565,0.794,-7.39
Slovenia,0.496,3.062,6.011,4.741,6.163,11.071,6.155,4.482,-8.6
Solomon Islands,22.943,5.013,3.367,2.841,-4.387,12.842,13.058,-14.885,-28.449
Somalia,,,,,,,,,
South Africa,1.112,3.733,3.646,3.06,0.407,-0.273,2.741,-3.445,-11.863
South Sudan,,,,,,,,,
Spain,0.93,4.384,4.523,4.316,5.372,5.514,1.723,2.476,-20.151
Sri Lanka,-8.296,16.158,13.439,4.458,9.29,4.354,5.693,-2.292,-29.591
St. Kitts and Nevis,n/a,n/a,n/a,-2.067,-2.199,-3.271,13.968,1.384,-34.044
St. Lucia,n/a,n/a,n/a,9.396,-8.736,11.755,1.109,4.041,-60.105
St. Vincent and the Grenadines,n/a,n/a,n/a,14.065,6.246,-8.989,7.813,1.257,-32.952
Sudan,-64.894,47.441,-7.719,-1.464,-1.48,11.896,-17.314,1.391,-13.993
Suriname,-0.142,1.122,-1.974,-7.899,-15.699,29.209,1.258,-4.208,-11.005
Sweden,0.558,0.709,3.814,4.995,1.919,4.155,4.253,6.634,-5.804
Switzerland,1.039,13.778,-4.832,3.847,6.028,-0.156,3.372,-0.663,-5.601
Syria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Taiwan Province of China,21.192,0.962,2.699,-2.129,-4.869,6.311,0.471,2.068,0.753
Tajikistan,36.056,-10.784,-11.352,12.801,7.104,10.068,3.096,11.618,5.431
Tanzania,2.977,1.75,6.935,13.681,-2.076,-11.723,10.841,13.039,-0.374
Thailand,3.662,2.514,0.345,1.25,2.696,5.181,3.351,-2.954,-19.682
Timor-Leste,,,,,,,,,
Togo,5.772,14.208,-7.225,-8.849,5.557,1.2,1.45,1.285,-6.661
Tonga,-1.639,10.377,-2.118,-5.387,20.897,-5.372,1.559,-5.673,-4.288
Trinidad and Tobago,-4.858,8.703,-10.655,-10.851,-20.331,6.436,1.131,-16.081,-25.076
Tunisia,1.634,-0.732,-2.936,-2.818,2.021,3.209,3.473,-5.056,-10.958
Trkiye,13.627,6.058,6.173,2.667,-0.874,12.209,9.973,7.373,-14.214
Turkmenistan,15.641,3.424,9.789,-5.153,-1.254,-6.731,-1.34,-11.686,-11.722
Tuvalu,,,,,,,,,
Uganda,16.615,2.844,0.202,3.067,5.795,0.007,16.329,8.907,-12.327
Ukraine,1.441,-14.653,-10.592,-11.558,-3.381,7.86,1.904,6.411,11.188
United Arab Emirates,17.44,8.063,5.548,2.506,6.092,1.431,0.235,-0.525,-7.87
United Kingdom,0.647,0.869,0.818,3.765,3.342,5.654,2.777,3.358,-12.961
United States,4.014,2.97,3.883,0.271,0.407,4.077,2.812,-0.067,-13.561
Uruguay,n/a,-0.444,1.264,-7.785,-6.049,3.528,-0.765,-2.023,-19.09
Uzbekistan,-5.119,10.615,-7.092,2.12,4.349,14.776,11.76,16.188,-20.029
Vanuatu,,,,,,,,,
Venezuela,1.594,-6.17,-4.658,-0.863,-11.729,-0.044,-10.8,-11.5,-48.1
Vietnam,14.947,17.805,11.75,14.065,11.026,17.235,10.892,6.715,3.569
West Bank and Gaza,0.53,4.414,9.555,-3.246,-1.604,13.916,2.508,2.009,-11.199
Yemen,-11.694,2.853,5.812,-34.107,-69.149,-18.765,3.251,30.289,13.182
Zambia,28.072,23.131,-4,-11.392,-5.147,3.981,5.35,-11.722,9.23
Zimbabwe,,,,,,,,,
