Country,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lithuania,-1.158,-0.892,0.985,1.298,1.614,1.63,1.529,1.061,-6.677
Luxembourg,0.288,0.681,1.087,1.062,1.647,1.145,2.78,2.09,-3.653
Macao SAR,23.981,26.986,24.16,13.817,11.415,13.259,13.303,14.408,-21.207
Madagascar,-1.627,-2.824,-1.49,-2.157,-0.368,-1.408,-0.569,-0.723,-3.224
Malawi,-0.437,-1.178,-0.01,-1.874,-1.845,-2.385,-1.6,-1.498,-4.99
Malaysia,-2.071,-2.14,-0.906,-0.933,-0.759,-0.616,-0.758,0.027,-2.857
Maldives,-4.57,-1.698,-0.756,-4.468,-8.294,-1.712,-3.612,-5.08,-20.944
Mali,-0.439,-1.877,-2.298,-1.229,-3.27,-2.028,-3.856,-0.656,-4.19
Malta,-0.473,0.423,0.938,1.242,3.208,5.052,3.572,1.894,-8.148
Marshall Islands,0.03,0.402,3.675,3.209,4.261,4.716,2.823,-1.528,2.671
Mauritania,2.298,0.06,-1.847,-1.554,0.905,1.445,4.374,3.484,3.657
Mauritius,0.941,-0.941,-0.723,-1.29,-0.48,0.731,0.342,-5.558,-8.142
Mexico,-0.918,-0.949,-1.747,-1.208,0.352,2.616,1.579,1.405,-0.514
Micronesia,1.197,3.255,11.493,10.706,7.561,14.49,24.45,18.641,6.233
Moldova,-1.272,-1.124,-1.118,-1.189,-0.42,0.463,-0.046,-0.67,-4.462
Mongolia,-5.489,0.483,-1.474,-1.85,-11.174,0.411,6.067,3.278,-6.733
Montenegro,-3.966,-2.371,1.568,-3.601,-4.018,-4.427,-4.049,0.442,-8.219
Morocco,-4.372,-2.317,-2.22,-1.983,-1.968,-0.876,-1.177,-1.426,-4.65
Mozambique,-2.632,-1.718,-8.866,-5.466,-2.665,0.967,-1.16,3.35,-2.263
Myanmar,-1.304,-0.423,-0.066,-1.615,-2.603,-1.524,-1.623,-2.434,-4.007
Namibia,-1.675,-3.215,-4.983,-6.619,-6.846,-2.008,-1.867,-1.812,-3.945
Nauru,,,,,,,,,
Nepal,-0.403,2.241,1.849,0.922,1.463,-2.401,-5.401,-4.488,-4.731
Netherlands,-2.864,-1.85,-1.156,-1.104,0.915,2.109,2.132,2.288,-3.198
New Zealand,-1.315,-0.553,0.259,0.977,1.589,1.942,1.868,-1.849,-3.393
Nicaragua,0.492,-0.459,-0.891,-1.07,-1.189,-0.872,-1.928,0.948,-1.04
